x-axis SCL1 SDA1
second Volt Volt
+34.50000E-06 +0.0E+00 +0.0E+00
+34.51500E-06 -0.0E+00 -1.40703516E-03
+34.53000E-06 -104.52261567E-03 -1.40703516E-03
+34.54500E-06 +0.0E+00 -0.0E+00
+34.56000E-06 -0.0E+00 -0.0E+00
+34.57500E-06 -104.52261567E-03 +0.0E+00
+34.59000E-06 -104.52261567E-03 +1.40703516E-03
+34.60500E-06 -104.52261567E-03 -0.0E+00
+34.62000E-06 +0.0E+00 -0.0E+00
+34.63500E-06 +0.0E+00 -1.40703516E-03
+34.65000E-06 -104.52261567E-03 +0.0E+00
+34.66500E-06 -104.52261567E-03 -0.0E+00
+34.68000E-06 -0.0E+00 -1.40703516E-03
+34.69500E-06 -209.04523134E-03 +0.0E+00
+34.71000E-06 -104.52261567E-03 -1.40703516E-03
+34.72500E-06 -104.52261567E-03 +0.0E+00
+34.74000E-06 -104.52261567E-03 -1.40703516E-03
+34.75500E-06 +0.0E+00 -2.81407032E-03
+34.77000E-06 -104.52261567E-03 -1.40703516E-03
+34.78500E-06 -104.52261567E-03 -1.40703516E-03
+34.80000E-06 +0.0E+00 -1.40703516E-03
+34.81500E-06 -104.52261567E-03 -1.40703516E-03
+34.83000E-06 -104.52261567E-03 +0.0E+00
+34.84500E-06 -0.0E+00 -1.40703516E-03
+34.86000E-06 -104.52261567E-03 -1.40703516E-03
+34.87500E-06 +0.0E+00 -1.40703516E-03
+34.89000E-06 -104.52261567E-03 +0.0E+00
+34.90500E-06 -0.0E+00 -0.0E+00
+34.92000E-06 -0.0E+00 +0.0E+00
+34.93500E-06 +0.0E+00 -1.40703516E-03
+34.95000E-06 -104.52261567E-03 -1.40703516E-03
+34.96500E-06 -104.52261567E-03 -1.40703516E-03
+34.98000E-06 -104.52261567E-03 -0.0E+00
+34.99500E-06 -104.52261567E-03 -1.40703516E-03
+35.01000E-06 -104.52261567E-03 -0.0E+00
+35.02500E-06 +0.0E+00 -0.0E+00
+35.04000E-06 -0.0E+00 -1.40703516E-03
+35.05500E-06 -104.52261567E-03 -1.40703516E-03
+35.07000E-06 -0.0E+00 -0.0E+00
+35.08500E-06 -0.0E+00 +0.0E+00
+35.10000E-06 +0.0E+00 -0.0E+00
+35.11500E-06 +0.0E+00 -1.40703516E-03
+35.13000E-06 -104.52261567E-03 -1.40703516E-03
+35.14500E-06 -0.0E+00 -0.0E+00
+35.16000E-06 -10E-12 -1.40703516E-03
+35.17500E-06 -104.52261568E-03 -1.40703516E-03
+35.19000E-06 -104.52261567E-03 -1.40703516E-03
+35.20500E-06 -104.52261567E-03 -1.40703516E-03
+35.22000E-06 -104.52261567E-03 -0.0E+00
+35.23500E-06 -104.52261567E-03 -2.81407032E-03
+35.25000E-06 -104.52261567E-03 -1.40703516E-03
+35.26500E-06 -10E-12 -1.40703516E-03
+35.28000E-06 -10E-12 -0.0E+00
+35.29500E-06 -104.52261567E-03 +0.0E+00
+35.31000E-06 -104.52261567E-03 -0.0E+00
+35.32500E-06 -104.52261567E-03 -0.0E+00
+35.34000E-06 +0.0E+00 -0.0E+00
+35.35500E-06 +0.0E+00 -1.40703516E-03
+35.37000E-06 -10E-12 -1.40703516E-03
+35.38500E-06 -104.52261566E-03 -0.0E+00
+35.40000E-06 -10E-12 -1.40703516E-03
+35.41500E-06 -10E-12 +0.0E+00
+35.43000E-06 -10E-12 +0.0E+00
+35.44500E-06 -104.52261566E-03 -0.0E+00
