x-axis SCL1 SDA1
second Volt Volt
+34.50000E-06 +0.0E+00 +0.0E+00
+34.51500E-06 -0.0E+00 -7.39698485E-03
+34.53000E-06 -116.58291519E-03 -7.39698485E-03
+34.54500E-06 -116.58291519E-03 -7.39698485E-03
+34.56000E-06 -116.58291519E-03 +0.0E+00
+34.57500E-06 -116.58291519E-03 +0.0E+00
+34.59000E-06 +0.0E+00 -0.0E+00
+34.60500E-06 -0.0E+00 -7.39698485E-03
+34.62000E-06 -116.58291519E-03 +0.0E+00
+34.63500E-06 -116.58291519E-03 +0.0E+00
+34.65000E-06 +0.0E+00 +0.0E+00
+34.66500E-06 +0.0E+00 +0.0E+00
+34.68000E-06 +0.0E+00 +0.0E+00
+34.69500E-06 -0.0E+00 +0.0E+00
+34.71000E-06 -116.58291519E-03 -0.0E+00
+34.72500E-06 -0.0E+00 -7.39698485E-03
+34.74000E-06 -116.58291519E-03 -7.39698485E-03
+34.75500E-06 +0.0E+00 -0.0E+00
+34.77000E-06 +0.0E+00 -7.39698485E-03
+34.78500E-06 -116.58291518E-03 +0.0E+00
+34.80000E-06 -0.0E+00 +0.0E+00
+34.81500E-06 +0.0E+00 -7.39698485E-03
+34.83000E-06 -116.58291519E-03 -7.39698485E-03
+34.84500E-06 +0.0E+00 +0.0E+00
+34.86000E-06 -116.58291519E-03 +0.0E+00
+34.87500E-06 +0.0E+00 +0.0E+00
+34.89000E-06 -0.0E+00 -7.39698485E-03
+34.90500E-06 -116.58291518E-03 +0.0E+00
+34.92000E-06 -116.58291518E-03 +0.0E+00
+34.93500E-06 +0.0E+00 -7.39698485E-03
+34.95000E-06 -116.58291519E-03 -0.0E+00
+34.96500E-06 +0.0E+00 -7.39698485E-03
+34.98000E-06 -116.58291518E-03 +0.0E+00
+34.99500E-06 +0.0E+00 +0.0E+00
+35.01000E-06 -0.0E+00 +0.0E+00
+35.02500E-06 -116.58291519E-03 +0.0E+00
+35.04000E-06 -116.58291518E-03 -0.0E+00
+35.05500E-06 +0.0E+00 -0.0E+00
+35.07000E-06 +0.0E+00 -0.0E+00
+35.08500E-06 -0.0E+00 +0.0E+00
+35.10000E-06 -116.58291518E-03 +0.0E+00
+35.11500E-06 -116.58291518E-03 -0.0E+00
+35.13000E-06 -0.0E+00 +0.0E+00
+35.14500E-06 -116.58291518E-03 +0.0E+00
+35.16000E-06 -116.58291518E-03 +0.0E+00
+35.17500E-06 -10E-12 +0.0E+00
+35.19000E-06 -10E-12 -0.0E+00
+35.20500E-06 +0.0E+00 -7.39698485E-03
+35.22000E-06 -10E-12 -7.39698485E-03
+35.23500E-06 -116.58291519E-03 +0.0E+00
+35.25000E-06 -10E-12 +0.0E+00
+35.26500E-06 -116.58291519E-03 +0.0E+00
+35.28000E-06 -116.58291519E-03 -0.0E+00
+35.29500E-06 -116.58291518E-03 -0.0E+00
+35.31000E-06 -10E-12 -0.0E+00
+35.32500E-06 -10E-12 -7.39698484E-03
+35.34000E-06 -116.58291518E-03 +0.0E+00
+35.35500E-06 +0.0E+00 -0.0E+00
+35.37000E-06 -10E-12 +0.0E+00
+35.38500E-06 -116.58291519E-03 -7.39698484E-03
+35.40000E-06 -116.58291519E-03 -7.39698485E-03
+35.41500E-06 -116.58291519E-03 -0.0E+00
+35.43000E-06 -10E-12 -0.0E+00
+35.44500E-06 -116.58291519E-03 +0.0E+00
+35.46000E-06 +0.0E+00 +0.0E+00
+35.47500E-06 -116.58291518E-03 -0.0E+00
