x-axis SCL1 SDA1
second Volt Volt
+34.50000E-06 -52.25628614E-03 -627.38697E-06
+34.51500E-06 -52.25628614E-03 -104.77391E-06
+34.53000E-06 -52.25628614E-03 -627.38697E-06
+34.54500E-06 -52.25628614E-03 -104.77391E-06
+34.56000E-06 -52.25628614E-03 -104.77391E-06
+34.57500E-06 -52.25628614E-03 -627.38697E-06
+34.59000E-06 -52.25628614E-03 -104.77391E-06
+34.60500E-06 -129.44221497E-03 -627.38697E-06
+34.62000E-06 +24.92964268E-03 -627.38697E-06
+34.63500E-06 -52.25628614E-03 -627.38697E-06
+34.65000E-06 -52.25628614E-03 -104.77391E-06
+34.66500E-06 -52.25628614E-03 -1.15000003E-03
+34.68000E-06 -52.25628615E-03 -104.77391E-06
+34.69500E-06 -52.25628614E-03 -627.38697E-06
+34.71000E-06 -52.25628614E-03 -104.77391E-06
+34.72500E-06 -52.25628614E-03 -627.38697E-06
+34.74000E-06 -52.25628614E-03 -627.38697E-06
+34.75500E-06 -52.25628614E-03 -627.38697E-06
+34.77000E-06 -52.25628614E-03 -627.38697E-06
+34.78500E-06 +24.92964268E-03 -104.77391E-06
+34.80000E-06 -52.25628614E-03 -627.38697E-06
+34.81500E-06 -129.44221496E-03 -104.77391E-06
+34.83000E-06 -52.25628614E-03 -627.38697E-06
+34.84500E-06 +24.92964268E-03 -627.38697E-06
+34.86000E-06 -52.25628614E-03 -1.67261309E-03
+34.87500E-06 -52.25628614E-03 -627.38697E-06
+34.89000E-06 -52.25628614E-03 -627.38697E-06
+34.90500E-06 -52.25628614E-03 -104.77391E-06
+34.92000E-06 +24.92964268E-03 -104.77391E-06
+34.93500E-06 -129.44221496E-03 -627.38697E-06
+34.95000E-06 -52.25628614E-03 -104.77391E-06
+34.96500E-06 -52.25628614E-03 -627.38697E-06
+34.98000E-06 +24.92964267E-03 -1.15000003E-03
+34.99500E-06 -52.25628614E-03 -627.38697E-06
+35.01000E-06 -52.25628614E-03 -104.77391E-06
+35.02500E-06 -52.25628614E-03 -627.38697E-06
+35.04000E-06 -52.25628614E-03 -104.77391E-06
+35.05500E-06 -52.25628614E-03 -627.38697E-06
+35.07000E-06 -52.25628614E-03 -104.77391E-06
+35.08500E-06 -52.25628614E-03 -104.77391E-06
+35.10000E-06 -52.25628614E-03 -627.38697E-06
+35.11500E-06 -52.25628614E-03 -627.38697E-06
+35.13000E-06 -52.25628615E-03 -627.38697E-06
+35.14500E-06 -52.25628614E-03 -627.38697E-06
+35.16000E-06 -52.25628615E-03 -627.38697E-06
+35.17500E-06 -52.25628614E-03 -104.77391E-06
+35.19000E-06 -52.25628614E-03 -104.77391E-06
+35.20500E-06 -52.25628614E-03 -104.77391E-06
+35.22000E-06 -52.25628614E-03 -1.15000003E-03
+35.23500E-06 -52.25628614E-03 +417.83915E-06
+35.25000E-06 -52.25628614E-03 -627.38697E-06
+35.26500E-06 -52.25628614E-03 -627.38697E-06
+35.28000E-06 -52.25628614E-03 -627.38697E-06
+35.29500E-06 -52.25628614E-03 -1.15000003E-03
+35.31000E-06 -52.25628614E-03 -627.38697E-06
+35.32500E-06 -52.25628614E-03 -104.77391E-06
+35.34000E-06 -52.25628614E-03 -1.15000003E-03
+35.35500E-06 +24.92964267E-03 -627.38697E-06
